Data,Descriere,Suma,Sold Curent
2025-01-09,Plata POS Spotify Resita,-928.72, 4071.28
2025-01-09,Plata POS Spotify Zarnesti,-911.89, 3159.39
2025-01-09,Restituire Taxe, 3723.00, 6882.39
2025-01-10,Plata POS ENEL Jilava,-560.73, 6321.66
2025-01-10,Plata POS Bolt Food Filiasi,-33.08, 6288.58
2025-01-10,Plata POS Carrefour Tarnaveni,-711.91, 5576.67
2025-01-11,Plata POS OMV PETROM Babadag,-825.64, 4751.03
2025-01-11,Plata POS Netflix Insuratei,-419.51, 4331.52
2025-01-11,Plata POS ENEL Oituz,-535.98, 3795.54
2025-01-13,Plata POS Farmacia Tei Cudalbi,-105.59, 3689.95
2025-01-14,Plata POS OMV PETROM Intorsura Buzaului,-968.81, 2721.14
2025-01-14,Vanzare OLX, 4854.04, 7575.18
2025-01-15,Restituire Taxe, 2599.82, 10175.00
2025-01-15,Incasare PFA Factura, 4594.61, 14769.61
2025-01-16,Plata POS Farmacia Tei Valea Mare (Negresti),-180.96, 14588.65
2025-01-16,Transfer de la Popescu Ion, 2801.65, 17390.30
2025-01-16,Plata POS Farmacia Tei Marginea,-127.30, 17263.00
2025-01-16,Plata POS Netflix Targu Frumos,-249.88, 17013.12
2025-01-16,Plata POS Carturesti Harsova,-793.32, 16219.80
2025-01-16,Plata POS ENEL Curcani,-451.15, 15768.65
2025-01-17,Plata POS Farmacia Tei Siret,-911.39, 14857.26
2025-01-17,Plata POS Carrefour Babeni,-451.38, 14405.88
2025-01-17,Plata POS Carturesti Glina,-468.36, 13937.52
2025-01-18,Plata POS LIDL Pogoanele,-778.68, 13158.84
2025-01-18,Plata POS Netflix Alesd,-350.59, 12808.25
2025-01-18,Incasare PFA Factura, 4952.17, 17760.42
2025-01-18,Transfer de la Popescu Ion, 3087.19, 20847.61
2025-01-19,Plata POS Netflix Pascani,-664.17, 20183.44
2025-01-19,Plata POS Netflix Agnita,-212.88, 19970.56
2025-01-19,Plata POS Bolt Food Moldova Veche,-596.31, 19374.25
2025-01-19,Plata POS ENEL Curcani,-730.84, 18643.41
2025-01-19,Plata POS ENEL Alba Iulia,-519.25, 18124.16
2025-01-20,Plata POS OMV PETROM Nasaud,-125.57, 17998.59
2025-01-20,Plata POS ENEL Tulcea,-829.23, 17169.36
2025-01-20,Plata POS Bolt Food Gura Humorului,-417.92, 16751.44
2025-01-20,Plata POS Carturesti Bacau,-379.15, 16372.29
2025-01-20,Plata POS LIDL Slatina,-875.37, 15496.92
2025-01-20,Restituire Taxe, 2806.15, 18303.07
2025-01-20,Plata POS MEGA IMAGE Baraolt,-980.78, 17322.29
2025-01-22,Plata POS Spotify Baia,-235.30, 17086.99
2025-01-22,Restituire Taxe, 2259.70, 19346.69
2025-01-23,Plata POS ENEL Oradea,-712.64, 18634.05
2025-01-23,Plata POS Farmacia Tei Bumbesti-Jiu,-485.78, 18148.27
2025-01-23,Plata POS EON GAZ Turnu Magurele,-918.41, 17229.86
2025-01-24,Plata POS EON GAZ Giurgiu,-451.33, 16778.53
2025-01-24,Plata POS OMV PETROM Pascani,-696.75, 16081.78
2025-01-24,Restituire Taxe, 2941.50, 19023.28
